ID	NameUA	NameEN	DescriptionUA	DescriptionEN
11	Атака з приводу	Drive-by attack	це ненавмисне завантаження вірусу або шкідливого програмного забезпечення (зловмисного програмного забезпечення) у вашу систему. Атака з приводу зазвичай використовує (або «використовує») браузер, програму або операційну систему, які застаріли та мають недолік безпеки.	
12	Атака на відмову в обслуговуванні	Denial of service attack (DDoS)	це тип онлайн-атаки, що використовується для запобігання звичайним користувачам доступу до онлайн-локації. У цьому випадку кіберзлочинець може перешкодити законним користувачам отримати доступ до веб-сайту, націлившись на його мережеві ресурси та засипавши веб-сайт величезною кількістю інформаційних запитів.	
13	Атака на ланцюг поставок	Supply chain attack	цей тип атаки має на меті завдати шкоди організації, використовуючи вразливі місця в її мережі постачання. Кіберзлочинці часто маніпулюють апаратним або програмним забезпеченням на стадії виробництва, щоб імплантувати руткіти або зв'язати шпигунські елементи на основі апаратного забезпечення. Пізніше зловмисники можуть використати ці імпланти, щоб атакувати організацію, за якою вони переслідують.	
14	Атака «людина посередині»	Man-in-the-middle Attack (MitM)	за допомогою неї кіберзлочинці можуть змінити веб-трафік жертви та вставити між жертвою та веб-службою, до якої жертва намагається отримати доступ. У цей момент зловмисник може або зібрати інформацію, яка передається через Інтернет, або змінити її. Цей тип атаки часто називають MITM, MitM, MIM, MiM або MITMA.	
15	Атака підслуховування	Eavesdropping attack	це атака, під час якої зловмисник пасивно прослуховує нібито секретні передачі, щоб здійснити атаку.	
16	Атмос	Atmos	це різновид фінансового зловмисного програмного забезпечення, яке виникло з Citadel (яке, у свою чергу, базується на витоку коду ZeuS). Atmos працює з кінця 2015 року, але до квітня 2016 року не було серйозного зростання активності.	
17	Алгоритм блокового шифрування	Block Cipher Algorithm	це алгоритм шифрування, який одночасно працює з порціями даних фіксованого розміру.	
18	Алгоритм генерації домену	Domain generation algorithm (DGA)	це комп'ютерна програма, яка використовується різними сімействами зловмисних програм для створення великої кількості доменів шляхом створення дещо різних варіацій певного доменного імені. Згенеровані домени використовуються для приховування трафіку, що передається між інфікованими машинами/мережами та серверами керування. Таким чином кіберзлочинці можуть замести сліди та зберегти анонімність від правоохоронних органів і приватних організацій кібербезпеки. Наприклад, домени DGA широко використовуються для приховування ботнетів і атак, які вони допомагають запускати.	
19	Аналіз причин	Root cause analysis	це процес, який використовується для визначення основних причин певних ризиків безпеки в організації. Це має бути зроблено з максимальною увагою до деталей і дотримуючись об'єктивної точки зору.	
20	Асиметрична криптографія	Asymmetric Cryptography	це синонім криптографії з відкритим ключем, де ключ, який використовується для дешифрування чогось, відрізняється від того, який використовувався для шифрування.	
21	Архітектор інформаційної безпеки	Information Security Architect	особа в організації, яка розробляє системи та технології для впровадження та підтримки інформаційної безпеки.	
22	Аудит безпеки	Audit	це оцінка діяльності організації за одним або декількома визначеними стандартами. Внутрішні аудити, які часто називають аудитами першої сторони, проводяться як самооцінка самої організації. Зовнішні аудити або аудити третьої сторони проводяться незалежним оцінювачем за межами організації.	
23	Автентифікація	Authentication	зазвичай базується на імені користувача та паролі. Цей процес використовується, щоб надати доступ до онлайн-розташування або ресурсу потрібній особі шляхом підтвердження ідентифікації.	
24	Багаторівневий захист	Multilevel Security (MLS)	це надання різним користувачам різних рівнів дозволів на доступ до систем — тому різні користувачі мають різні рівні доступу.	
25	Багатофакторна автентифікація	Multifactor Authentication	це тип автентифікації, який використовує два або більше факторів для досягнення автентифікації. Ці фактори можуть включати: те, що користувачі знають (пароль або PIN-код), те, що користувач має (маркер автентифікації, SMS із кодом або генератор коду на телефоні/планшеті) та/або щось, чим є користувач (біометричні методи автентифікації, такі як відбитки пальців або сканування сітківки ока).	
26	Базовий рівень безпеки	Baseline security	це набір основних заходів і цілей, яким повинна відповідати будь-яка служба або мережева система. Ця базова методологія зазвичай являє собою набір кроків безпеки, які впроваджуються та встановлюються на рівні ІТ-безпеки організації.	
27	Базування	Baselining	це моніторинг поведінки ваших систем, щоб визначити, що працює нормально, щоб ваші системи безпеки могли попередити вас, якщо виявлять ненормальну поведінку.	
28	Безаварійності	Fail Safe	це автоматична система захисту, яка втручається у разі виявлення збою апаратного чи програмного забезпечення.	
29	Безладний режим	Promiscuous Mode	це мережева карта вашого комп'ютера за нормальної роботи фільтруватиме трафік, який надходить через мережу, і прийматиме лише той трафік, який їй адресований. Якщо його переключити в «безладний режим», він прийматиме все, що надходить, що корисно (скажімо) для аналізу всього трафіку в сегменті мережі з метою діагностики.	
30	Безфайлове шкідливе програмне забезпечення	Fileless Malware	це типи зловмисного коду, який використовується в кібератаках, що не використовує файли для запуску атаки та перенесення інфекції на уражений пристрій або мережу. Інфекція запускається в оперативній пам'яті пристрою, тому традиційні антивірусні та антишкідливі програми взагалі не можуть виявити її. Зловмисні хакери використовують безфайлове зловмисне програмне забезпечення, щоб досягти скритності, підвищення привілеїв, щоб зібрати конфіденційну інформацію та досягти стійкості в системі, тому зараження зловмисним програмним забезпеченням може продовжувати діяти протягом більш тривалого періоду часу.	
31	Білий список	Whitelist	це список електронних адрес або IP-адрес, які вважаються вільними від спаму. Це протилежність чорному списку, який зазвичай включає список заблокованих користувачів. Спамфільтри мають як білі, так і чорні списки відправників, а також ключові слова для пошуку в електронних листах, що дає їм змогу виявити спам.	
32	Безпека інформаційних систем	Information Systems Security (INFOSEC)	це захист інформаційних систем від несанкціонованого доступу або спроб зламати та змінити дані, незалежно від того, чи це збережені дані, оброблені дані чи дані, що передаються. Необхідні заходи для виявлення, документування та протидії цим загрозам також включені в INFOSEC.	
33	Бекдор («задні двері»)	Back Door	це неофіційний засіб доступу до системи чи програми, який офіційно не підтримується та не є частиною прийнятого чи перевіреного дизайну, але який було вставлено одним або декількома розробниками, щоб забезпечити засіб обходу офіційної механізму безпеки.	
34	Бекдор Троян	Backdoor Trojan	це спосіб отримати контроль над системою без дозволу. Зазвичай бекдорний троян представляє себе як законну програму, яка поширюється через фішингові кампанії та змушує користувачів клацати зловмисне посилання або отримувати доступ до зловмисного програмного забезпечення на веб-сайті. Після зараження системи троян може отримати доступ до конфіденційних файлів, надсилати та отримувати дані в Інтернеті та відстежувати історію веб-перегляду. Щоб уникнути такого типу зараження, вам слід оновлювати систему за допомогою останніх виправлень і мати надійний захист від зловмисного програмного забезпечення.	
35	Бомба сповільненої дії	Time Bomb	це тип зловмисного програмного забезпечення, яке залишається в системі бездіяльним певний проміжок часу, доки його не спричинить певна подія. Цей тип поведінки присутній у зловмисному програмному забезпеченні, щоб ускладнити виявлення програмним забезпеченням безпеки.	
36	Бот	Bot	це програма, яка виконує автоматизовані завдання та певні операції. Хоча деякі боти служать нешкідливим цілям у відеоіграх або онлайн-локаціях, існує низка ботів, які можна використовувати у великих мережах, звідки вони можуть розміщувати зловмисну рекламу на популярних сайтах або запускати розподілені онлайн-атаки проти певних цілей.	
37	Ботнет	Botnet	це мережа заражених комп'ютерів, які спілкуються один з одним, щоб виконувати однакові зловмисні дії, як-от запуск спам-кампаній або розподілених атак типу «відмова в обслуговуванні». Інтернет-злочинці можуть дистанційно керувати мережею, щоб служити своїм інтересам, і водночас це дозволяє хакерам уникнути виявлення або судових дій з боку правоохоронних органів.	
38	Брандмауер	Firewall	це система безпеки мережі, призначена для запобігання несанкціонованому доступу до публічних або приватних мереж. Його мета — контролювати вхідну та вихідну комунікацію на основі набору правил.	
39	Вабіти	Wabbit	це один із чотирьох основних класів шкідливих програм серед вірусів, черв'яків і троянських коней. Це форма комп'ютерної програми, яка багаторазово копіюється в локальній системі. Wabbits можна запрограмувати на шкідливі побічні ефекти. Вилка-бомба є прикладом wabbit: це форма DoS-атаки проти комп'ютера, яка використовує функцію fork. Форк-бомба швидко створює велику кількість процесів, зрештою призводячи до збою системи. Wabbits не намагаються поширюватися на інші комп'ютери в мережі.	
40	Вакцина	Vaccine	це цифрове рішення, яке спрямоване на нейтралізацію атак після того, як вони отримають несанкціонований доступ до інформаційної системи. Кібервакцини використовують недоліки в роботі та поширенні деяких штамів зловмисного програмного забезпечення, тому їх розповсюдження та наслідки можна заблокувати. Кібервакцина може навчити інформаційну систему виявляти та зупиняти кібератаки після того, як вони проникнуть у систему/комп'ютер перед тим, як зловмисник зможе завдати будь-якої фактичної шкоди. Це нова концепція, тому для їхнього просування потрібно зробити багато роботи. Їх потенційно можна використовувати для зупинки програм-вимагачів, блокування викрадання даних, перехоплення фішингових атак, блокування експлойтів Zero Day тощо.	
41	Введення коду	Code injection	це техніка впровадження коду, зазвичай використовується онлайн-зловмисниками, щоб змінити хід використання комп'ютерної програми. Цей метод використовується онлайн злочинцями для розповсюдження шкідливого програмного забезпечення шляхом зараження законних веб-сайтів шкідливим кодом.	
42	Введення URL-адреси	URL injection	відбувається, коли кіберзлочинець створює нові сторінки на чужому веб-сайті, які містять спам-слова чи посилання. Іноді ці сторінки також містять шкідливий код, який переспрямовує ваших користувачів на інші веб-сторінки або змушує веб-сервер веб-сайту сприяти DDoS-атаці. Впровадження URL-адреси зазвичай відбувається через уразливості в каталогах сервера або програмному забезпеченні, яке використовується для роботи веб-сайту, наприклад застарілому Wordpress або плагінах.	
43	Взаємна автентифікація	Mutual Authentication	відбувається для двох сторін в обміні даними, які автентифікують одна одну перед передачею.	
44	Викрадення браузера	Browser hijacking	це процес зміни домашньої сторінки або пошукової системи за замовчуванням у вашому веб-браузері зловмисною програмою без вашого дозволу. Користувач може помітити, що внесені зміни не можна скасувати, і для цього типу програмного забезпечення потрібно використовувати інструмент безпеки. Це не вважається серйозною загрозою загальній безпеці системи, але його потрібно швидко вирішити, оскільки це впливає на веб-перегляд.	
45	Витік даних	Data leakage	описує втрату конфіденційної інформації, як правило, від корпорації чи великої компанії, що призводить до несанкціонованого доступу персоналу до цінних активів даних. Конфіденційними даними можуть бути інформація про компанію, фінансові деталі або інші форми даних, які ставлять під загрозу назву компанії або її фінансовий стан.	
46	Викрадення DNS	DNS hijacking	це онлайн-атака, яка скасовує налаштування TCP/IP комп'ютера для спрямування зв'язку на зловмисний сервер, контрольований кіберзлочинцями.	
47	Вихідна фільтрація	Egress Filtering	це фільтрування вихідного мережевого трафіку, щоб, наприклад, дані, позначені як «тільки для внутрішнього використання», не вилучалися з систем організації.	
48	Видалення аномалій	Anomaly-based detection	це нова технологія, яка захищає системи або мережі від зловмисних і кіберзлочинних дій за допомогою виявлення на основі евристики, а не класичних методів на основі сигнатур. Цей тип виявлення все ще новий і забезпечує велику кількість помилкових спрацьовувань. Проблема полягає в тому, що система повинна розпізнавати ненормальні дії та позначати їх як небезпечні, але все ще важко вказати комп'ютеру, що таке нормальне використання системи.	
49	Віддалений доступ	Remote access	трапляється, коли хтось використовує спеціальну програму для доступу до комп'ютера з віддаленого місця. Це норма для людей, які багато подорожують і потребують доступу до мережі своєї компанії. Але кіберзлочинці також можуть використовувати віддалений доступ для керування комп'ютером, який вони раніше зламали.	
50	Відлякувальні програми	Scareware	це тип зловмисного програмного забезпечення (або шахрайського програмного забезпечення), яке використовує соціальну інженерію, щоб залякати й заплутати жертв через шок, тривогу, страх і часові обмеження. Мета полягає в тому, щоб зловмисно переконати жертв придбати небажане програмне забезпечення. Програмне забезпечення може бути фальшивим програмним забезпеченням безпеки, програмою-вимагачем або іншим типом зловмисного програмного забезпечення. Наприклад, зловмисники часто намагаються маніпулювати користувачами тим, що їхній комп'ютер заражений вірусом і що єдиний спосіб позбутися від нього — заплатити, завантажити та встановити підроблений антивірус, який, звичайно, виявляється сама шкідлива програма.	
51	Відстеження домену	Domain shadowing	це зловмисна тактика, яку використовують кіберзлочинці для створення своєї інфраструктури та здійснення атак, залишаючись непоміченими. По-перше, зловмисники викрадають і збирають облікові дані для облікових записів домену. Використовуючи ці викрадені облікові дані, вони входять в обліковий запис домену та створюють субдомени, які перенаправляють трафік на шкідливі сервери, про що власник домену не знає. Тіньове відстеження домену дозволяє кібер-зловмисникам обходити фільтри на основі репутації та пропускати свій шкідливий трафік як безпечний.	
52	Відстеження кукі	Tracking cookie	це тип файлів, що зберігається на комп'ютерах користувачів під час сеансів веб-перегляду. Їх мета полягає в зборі даних про переваги перегляду користувача на певному веб-сайті, щоб потім вони могли надавати цільову рекламу або покращити досвід користувача на цьому веб-сайті, надаючи персоналізовану інформацію.	
53	Вірус	Virus	це різновид шкідливого програмного забезпечення, здатного до самовідтворення. Вірус потребує втручання людини для запуску, і він може скопіювати себе в інші комп'ютерні програми, файли даних або в певні розділи вашого комп'ютера, наприклад у завантажувальний сектор жорсткого диска. Як тільки це станеться, ці елементи будуть заражені. Комп'ютерні віруси призначені для шкоди комп'ютерам та інформаційним системам і можуть поширюватися через Інтернет через шкідливі завантаження, заражені вкладення електронної пошти, шкідливі програми, файли чи документи. Віруси можуть викрадати дані, знищувати інформацію, реєструвати натискання клавіш тощо.	
54	Віртуальна машина	Virtual Machine (VM)	це комп'ютер із програмним забезпеченням, який працює на іншому комп'ютері.	
55	Віртуальна приватна мережа	Virtual Private Network (VPN)	використовує загальнодоступну інфраструктуру Інтернету для підключення до приватної мережі. VPN зазвичай створюють і володіють корпорації. Використовуючи шифрування та інші засоби безпеки, VPN приховає вашу онлайн-активність від зловмисників і запропонує додатковий захист, коли ви хочете безпечно переміщатися в Інтернеті.	
56	Вішинг	Voice over IP (VoIP) phishing	це форма фішингу, яка виконується по телефону або через технологію VoIP (VoIP), таку як Skype. Жертви, які нічого не підозрюють, змушені розкрити конфіденційну або особисту інформацію за допомогою телефонних дзвінків, дзвінків VoIP або навіть голосової пошти.	
57	Видалений файл	Deleted File	це файл на комп'ютері, який користувач вважає видаленим, але який, ймовірно, ні: якщо ви спеціально не використовуєте функцію «безпечного видалення», якщо вона є, видалення файлу зазвичай просто залишає його там, але видаляє його запис із каталогу. Це дуже корисно, якщо ви видалите щось помилково, оскільки ви можете отримати утиліти для відновлення «видалених» файлів, але менш корисно, якщо ви втратите свій диск, оскільки будь-хто інший також може отримати утиліти для відновлення «видалених» файлів.	
58	Виклик-відповідь	Challenge-Response	це основний засіб автентифікації, коли система запитує дію від користувача, а користувач відповідає — наприклад, система запитує пароль користувача, а користувач вводить його.	
59	Вимоги безпеки	Security requirements	випливають із багатьох джерел і компенсують потреби безпеки інформаційної системи, щоб забезпечити конфіденційність, цілісність і доступність інформації, якою керують, передають або зберігають у системі. Джерелами для вимог безпеки можуть бути законодавство, директиви, політики, стандарти, найкращі практики, нормативні акти, процедури або інші бізнес-потреби.	
60	Винюхування пароля	Password sniffing	це тактика, яку використовують кіберзлочинці для збирання паролів. Вони роблять це за допомогою моніторингу та стеження за мережевим трафіком, щоб отримати дані про паролі. Якщо пароль надсилається через незашифроване з єднання (наприклад, ви вводите пароль на веб-сайті, який не захищений сертифікатом безпеки — не починається з https), зловмисникам ще легше отримати ваші паролі.	
61	Висока доступність	High Availability	це впровадження системи з використанням кількох пристроїв, щоб у разі збою одного інші автоматично переймали обслуговування.	
62	Вища охорона	Graduated Security	це система, яка має різні рівні безпеки на основі характеру різних наборів даних, що зберігаються та обробляються.	
63	Власна інформація	Proprietary Information (PROPIN)	складається з усіх даних, які є унікальними для компанії та забезпечують її здатність залишатися конкурентоспроможною. Це може включати відомості про клієнта, технічну інформацію, витрати та комерційну таємницю. Якщо кіберзлочинці скомпрометують або розкриють цю інформацію, вплив на компанію може бути досить серйозним, як ми бачили у великих витоках даних.	
64	Внутрішня загроза	Inside threat	зазвичай відноситься до співробітників або інших осіб із авторизованим доступом, які потенційно можуть завдати шкоди інформаційній системі, знищивши її або її частини, розкривши або змінивши конфіденційну інформацію та спричинивши відмову в обслуговуванні.	
65	Внутрішня мережа	Internal Network	це мережа, що з'єднує всі внутрішні системи організації.	
66	Вторгнення	Intrusion	це обхід механізмів безпеки системи з метою отримання несанкціонованого доступу.	
67	Втрата даних	Data loss	це процес, під час якого інформація знищується через збій або недбалість під час передачі, обробки або іноді руками кіберзлочинців. Щоб запобігти втраті даних, ІТ-групи встановлюють обладнання для резервного копіювання та відновлення, щоб уникнути втрати важливої інформації.	
68	Вразливість	Vulnerability	це діра в безпеці комп'ютера, яка робить систему відкритою для збитків, спричинених кібер-зловмисниками. Уразливості необхідно усунути відразу після їх виявлення, перш ніж кіберзлочинець скористається ними та використає їх.	
69	Вразливість до «кровоточивості»	Heartbleed	це помилка системи безпеки, яка з'явилася в 2014 році, і в результаті якої була розкрита інформація, яка зазвичай була захищена шифруванням SSL/TLS. Через серйозну вразливість, яка вплинула на бібліотеку OpenSSL, зловмисники могли викрасти дані, конфіденційні за допомогою типу шифрування, який використовується для захисту Інтернету. Через цю помилку близько 500 000 веб-серверів (17% усіх серверів в Інтернеті) потрапили під потенційну крадіжку даних.	
70	Водоїк	Watering hole	це назва стратегії комп'ютерної атаки, яка була виявлена ще в 2009 і 2010 роках. Жертва — це конкретна, дуже цільова група, наприклад компанія, організація, агентство, галузь тощо. Зловмисник витрачає час, щоб отримати стратегічну інформацію про ціль: спостерігає, які законні вебсайти частіше відвідують члени групи. Потім зловмисник використовує вразливість і заражає один із цих надійних веб-сайтів шкідливим програмним забезпеченням без відома власника сайту. Згодом хтось із цієї організації потрапить у пастку й заразить свій комп'ютер. Таким чином зловмисник отримує доступ до всієї мережі цілі. Ці атаки працюють через постійну вразливість у технологіях веб-сайтів, навіть у найпопулярніших системах, таких як WordPress, завдяки чому легше, ніж будь-коли, приховано скомпрометувати веб-сайти.	
